           h                   log(h)                     E(h)
1.000000e-004 -9.210340e+000 1.122237e-004
1.001001e-004 -9.209340e+000 1.123360e-004
1.002004e-004 -9.208338e+000 1.124486e-004
1.003009e-004 -9.207336e+000 1.125614e-004
1.004016e-004 -9.206332e+000 1.126744e-004
1.005025e-004 -9.205328e+000 1.127877e-004
1.006036e-004 -9.204322e+000 1.129011e-004
1.007049e-004 -9.203316e+000 1.130148e-004
1.008065e-004 -9.202308e+000 1.131288e-004
1.009082e-004 -9.201300e+000 1.132429e-004
1.010101e-004 -9.200290e+000 1.133573e-004
1.011122e-004 -9.199279e+000 1.134720e-004
1.012146e-004 -9.198268e+000 1.135868e-004
1.013171e-004 -9.197255e+000 1.137019e-004
1.014199e-004 -9.196241e+000 1.138172e-004
1.015228e-004 -9.195227e+000 1.139328e-004
1.016260e-004 -9.194211e+000 1.140486e-004
1.017294e-004 -9.193194e+000 1.141646e-004
1.018330e-004 -9.192176e+000 1.142809e-004
1.019368e-004 -9.191158e+000 1.143974e-004
1.020408e-004 -9.190138e+000 1.145141e-004
1.021450e-004 -9.189117e+000 1.146311e-004
1.022495e-004 -9.188095e+000 1.147483e-004
1.023541e-004 -9.187072e+000 1.148657e-004
1.024590e-004 -9.186048e+000 1.149834e-004
1.025641e-004 -9.185023e+000 1.151014e-004
1.026694e-004 -9.183996e+000 1.152196e-004
1.027749e-004 -9.182969e+000 1.153380e-004
1.028807e-004 -9.181941e+000 1.154566e-004
1.029866e-004 -9.180912e+000 1.155756e-004
1.030928e-004 -9.179881e+000 1.156947e-004
1.031992e-004 -9.178850e+000 1.158141e-004
1.033058e-004 -9.177817e+000 1.159338e-004
1.034126e-004 -9.176784e+000 1.160537e-004
1.035197e-004 -9.175749e+000 1.161738e-004
1.036269e-004 -9.174713e+000 1.162942e-004
1.037344e-004 -9.173676e+000 1.164148e-004
1.038422e-004 -9.172639e+000 1.165357e-004
1.039501e-004 -9.171600e+000 1.166569e-004
1.040583e-004 -9.170560e+000 1.167783e-004
1.041667e-004 -9.169518e+000 1.168999e-004
1.042753e-004 -9.168476e+000 1.170218e-004
1.043841e-004 -9.167433e+000 1.171440e-004
1.044932e-004 -9.166388e+000 1.172664e-004
1.046025e-004 -9.165343e+000 1.173891e-004
1.047120e-004 -9.164296e+000 1.175120e-004
1.048218e-004 -9.163249e+000 1.176352e-004
1.049318e-004 -9.162200e+000 1.177586e-004
1.050420e-004 -9.161150e+000 1.178823e-004
1.051525e-004 -9.160099e+000 1.180063e-004
1.052632e-004 -9.159047e+000 1.181305e-004
1.053741e-004 -9.157994e+000 1.182550e-004
1.054852e-004 -9.156940e+000 1.183798e-004
1.055966e-004 -9.155884e+000 1.185048e-004
1.057082e-004 -9.154828e+000 1.186300e-004
1.058201e-004 -9.153770e+000 1.187556e-004
1.059322e-004 -9.152711e+000 1.188814e-004
1.060445e-004 -9.151651e+000 1.190075e-004
1.061571e-004 -9.150590e+000 1.191338e-004
1.062699e-004 -9.149528e+000 1.192604e-004
1.063830e-004 -9.148465e+000 1.193873e-004
1.064963e-004 -9.147401e+000 1.195144e-004
1.066098e-004 -9.146335e+000 1.196419e-004
1.067236e-004 -9.145268e+000 1.197696e-004
1.068376e-004 -9.144201e+000 1.198975e-004
1.069519e-004 -9.143132e+000 1.200258e-004
1.070664e-004 -9.142062e+000 1.201543e-004
1.071811e-004 -9.140990e+000 1.202831e-004
1.072961e-004 -9.139918e+000 1.204121e-004
1.074114e-004 -9.138844e+000 1.205415e-004
1.075269e-004 -9.137770e+000 1.206711e-004
1.076426e-004 -9.136694e+000 1.208010e-004
1.077586e-004 -9.135617e+000 1.209312e-004
1.078749e-004 -9.134539e+000 1.210616e-004
1.079914e-004 -9.133459e+000 1.211924e-004
1.081081e-004 -9.132379e+000 1.213234e-004
1.082251e-004 -9.131297e+000 1.214547e-004
1.083424e-004 -9.130214e+000 1.215863e-004
1.084599e-004 -9.129130e+000 1.217182e-004
1.085776e-004 -9.128045e+000 1.218504e-004
1.086957e-004 -9.126959e+000 1.219828e-004
1.088139e-004 -9.125871e+000 1.221155e-004
1.089325e-004 -9.124782e+000 1.222486e-004
1.090513e-004 -9.123693e+000 1.223819e-004
1.091703e-004 -9.122601e+000 1.225155e-004
1.092896e-004 -9.121509e+000 1.226494e-004
1.094092e-004 -9.120416e+000 1.227836e-004
1.095290e-004 -9.119321e+000 1.229181e-004
1.096491e-004 -9.118225e+000 1.230529e-004
1.097695e-004 -9.117128e+000 1.231880e-004
1.098901e-004 -9.116030e+000 1.233233e-004
1.100110e-004 -9.114930e+000 1.234590e-004
1.101322e-004 -9.113829e+000 1.235950e-004
1.102536e-004 -9.112728e+000 1.237313e-004
1.103753e-004 -9.111624e+000 1.238679e-004
1.104972e-004 -9.110520e+000 1.240047e-004
1.106195e-004 -9.109414e+000 1.241419e-004
1.107420e-004 -9.108308e+000 1.242794e-004
1.108647e-004 -9.107200e+000 1.244172e-004
1.109878e-004 -9.106090e+000 1.245553e-004
1.111111e-004 -9.104980e+000 1.246937e-004
1.112347e-004 -9.103868e+000 1.248324e-004
1.113586e-004 -9.102755e+000 1.249714e-004
1.114827e-004 -9.101641e+000 1.251107e-004
1.116071e-004 -9.100526e+000 1.252504e-004
1.117318e-004 -9.099409e+000 1.253903e-004
1.118568e-004 -9.098291e+000 1.255306e-004
1.119821e-004 -9.097172e+000 1.256712e-004
1.121076e-004 -9.096051e+000 1.258121e-004
1.122334e-004 -9.094930e+000 1.259533e-004
1.123596e-004 -9.093807e+000 1.260948e-004
1.124859e-004 -9.092682e+000 1.262367e-004
1.126126e-004 -9.091557e+000 1.263788e-004
1.127396e-004 -9.090430e+000 1.265213e-004
1.128668e-004 -9.089302e+000 1.266641e-004
1.129944e-004 -9.088173e+000 1.268073e-004
1.131222e-004 -9.087042e+000 1.269507e-004
1.132503e-004 -9.085910e+000 1.270945e-004
1.133787e-004 -9.084777e+000 1.272386e-004
1.135074e-004 -9.083643e+000 1.273830e-004
1.136364e-004 -9.082507e+000 1.275278e-004
1.137656e-004 -9.081370e+000 1.276729e-004
1.138952e-004 -9.080232e+000 1.278183e-004
1.140251e-004 -9.079092e+000 1.279641e-004
1.141553e-004 -9.077951e+000 1.281101e-004
1.142857e-004 -9.076809e+000 1.282566e-004
1.144165e-004 -9.075665e+000 1.284033e-004
1.145475e-004 -9.074521e+000 1.285504e-004
1.146789e-004 -9.073375e+000 1.286978e-004
1.148106e-004 -9.072227e+000 1.288456e-004
1.149425e-004 -9.071078e+000 1.289937e-004
1.150748e-004 -9.069928e+000 1.291422e-004
1.152074e-004 -9.068777e+000 1.292909e-004
1.153403e-004 -9.067624e+000 1.294401e-004
1.154734e-004 -9.066470e+000 1.295896e-004
1.156069e-004 -9.065315e+000 1.297394e-004
1.157407e-004 -9.064158e+000 1.298895e-004
1.158749e-004 -9.063000e+000 1.300401e-004
1.160093e-004 -9.061840e+000 1.301909e-004
