           t                        v                        x
 0.000000e+000  1.500000e+000  0.000000e+000
 1.000000e-002  1.499662e+000  1.500000e-002
 2.000000e-002  1.498988e+000  2.999662e-002
 3.000000e-002  1.497975e+000  4.498650e-002
 4.000000e-002  1.496626e+000  5.996625e-002
 5.000000e-002  1.494940e+000  7.493252e-002
 6.000000e-002  1.492918e+000  8.988192e-002
 7.000000e-002  1.490560e+000  1.048111e-001
 8.000000e-002  1.487866e+000  1.197167e-001
 9.000000e-002  1.484838e+000  1.345954e-001
 1.000000e-001  1.481475e+000  1.494437e-001
 1.100000e-001  1.477779e+000  1.642585e-001
 1.200000e-001  1.473751e+000  1.790363e-001
 1.300000e-001  1.469391e+000  1.937738e-001
 1.400000e-001  1.464700e+000  2.084677e-001
 1.500000e-001  1.459680e+000  2.231147e-001
 1.600000e-001  1.454332e+000  2.377115e-001
 1.700000e-001  1.448656e+000  2.522548e-001
 1.800000e-001  1.442654e+000  2.667414e-001
 1.900000e-001  1.436328e+000  2.811679e-001
 2.000000e-001  1.429679e+000  2.955312e-001
 2.100000e-001  1.422708e+000  3.098280e-001
 2.200000e-001  1.415416e+000  3.240551e-001
 2.300000e-001  1.407807e+000  3.382092e-001
 2.400000e-001  1.399880e+000  3.522873e-001
 2.500000e-001  1.391639e+000  3.662861e-001
 2.600000e-001  1.383084e+000  3.802025e-001
 2.700000e-001  1.374218e+000  3.940333e-001
 2.800000e-001  1.365044e+000  4.077755e-001
 2.900000e-001  1.355561e+000  4.214260e-001
 3.000000e-001  1.345774e+000  4.349816e-001
 3.100000e-001  1.335684e+000  4.484393e-001
 3.200000e-001  1.325294e+000  4.617962e-001
 3.300000e-001  1.314605e+000  4.750491e-001
 3.400000e-001  1.303621e+000  4.881952e-001
 3.500000e-001  1.292343e+000  5.012314e-001
 3.600000e-001  1.280775e+000  5.141548e-001
 3.700000e-001  1.268918e+000  5.269625e-001
 3.800000e-001  1.256776e+000  5.396517e-001
 3.900000e-001  1.244351e+000  5.522195e-001
 4.000000e-001  1.231646e+000  5.646630e-001
 4.100000e-001  1.218664e+000  5.769795e-001
