           t                        v                        x
 0.000000e+000  1.500000e+000  0.000000e+000
 1.000000e-002  1.499831e+000  1.500000e-002
 2.000000e-002  1.499325e+000  2.999662e-002
 3.000000e-002  1.498481e+000  4.498650e-002
 4.000000e-002  1.497301e+000  5.996625e-002
 5.000000e-002  1.495783e+000  7.493252e-002
 6.000000e-002  1.493929e+000  8.988192e-002
 7.000000e-002  1.491739e+000  1.048111e-001
 8.000000e-002  1.489213e+000  1.197167e-001
 9.000000e-002  1.486352e+000  1.345954e-001
 1.000000e-001  1.483156e+000  1.494437e-001
 1.100000e-001  1.479627e+000  1.642585e-001
 1.200000e-001  1.475765e+000  1.790363e-001
 1.300000e-001  1.471571e+000  1.937738e-001
 1.400000e-001  1.467046e+000  2.084677e-001
 1.500000e-001  1.462190e+000  2.231147e-001
 1.600000e-001  1.457006e+000  2.377115e-001
 1.700000e-001  1.451494e+000  2.522548e-001
 1.800000e-001  1.445655e+000  2.667414e-001
 1.900000e-001  1.439491e+000  2.811679e-001
 2.000000e-001  1.433003e+000  2.955312e-001
 2.100000e-001  1.426193e+000  3.098280e-001
 2.200000e-001  1.419062e+000  3.240551e-001
 2.300000e-001  1.411612e+000  3.382092e-001
 2.400000e-001  1.403843e+000  3.522873e-001
 2.500000e-001  1.395760e+000  3.662861e-001
 2.600000e-001  1.387362e+000  3.802025e-001
 2.700000e-001  1.378651e+000  3.940333e-001
 2.800000e-001  1.369631e+000  4.077755e-001
 2.900000e-001  1.360302e+000  4.214260e-001
 3.000000e-001  1.350668e+000  4.349816e-001
 3.100000e-001  1.340729e+000  4.484393e-001
 3.200000e-001  1.330489e+000  4.617962e-001
 3.300000e-001  1.319950e+000  4.750491e-001
 3.400000e-001  1.309113e+000  4.881952e-001
 3.500000e-001  1.297982e+000  5.012314e-001
 3.600000e-001  1.286559e+000  5.141548e-001
 3.700000e-001  1.274847e+000  5.269625e-001
 3.800000e-001  1.262847e+000  5.396517e-001
 3.900000e-001  1.250564e+000  5.522195e-001
 4.000000e-001  1.237999e+000  5.646630e-001
 4.100000e-001  1.225155e+000  5.769795e-001
 4.200000e-001  1.212036e+000  5.891661e-001
 4.300000e-001  1.198644e+000  6.012202e-001
 4.400000e-001  1.184983e+000  6.131390e-001
 4.500000e-001  1.171054e+000  6.249198e-001
 4.600000e-001  1.156863e+000  6.365601e-001
 4.700000e-001  1.142411e+000  6.480571e-001
 4.800000e-001  1.127702e+000  6.594083e-001
 4.900000e-001  1.112739e+000  6.706111e-001
 5.000000e-001  1.097526e+000  6.816631e-001
 5.100000e-001  1.082066e+000  6.925617e-001
 5.200000e-001  1.066363e+000  7.033044e-001
 5.300000e-001  1.050419e+000  7.138889e-001
 5.400000e-001  1.034239e+000  7.243128e-001
 5.500000e-001  1.017827e+000  7.345737e-001
 5.600000e-001  1.001185e+000  7.446693e-001
 5.700000e-001  9.843187e-001  7.545974e-001
 5.800000e-001  9.672305e-001  7.643557e-001
 5.900000e-001  9.499246e-001  7.739420e-001
 6.000000e-001  9.324050e-001  7.833542e-001
 6.100000e-001  9.146757e-001  7.925901e-001
 6.200000e-001  8.967405e-001  8.016477e-001
 6.300000e-001  8.786035e-001  8.105249e-001
 6.400000e-001  8.602689e-001  8.192198e-001
 6.500000e-001  8.417407e-001  8.277303e-001
 6.600000e-001  8.230232e-001  8.360546e-001
 6.700000e-001  8.041204e-001  8.441908e-001
 6.800000e-001  7.850367e-001  8.521370e-001
 6.900000e-001  7.657764e-001  8.598915e-001
 7.000000e-001  7.463438e-001  8.674525e-001
 7.100000e-001  7.267432e-001  8.748184e-001
 7.200000e-001  7.069792e-001  8.819874e-001
 7.300000e-001  6.870560e-001  8.889580e-001
 7.400000e-001  6.669783e-001  8.957285e-001
 7.500000e-001  6.467505e-001  9.022975e-001
 7.600000e-001  6.263772e-001  9.086635e-001
 7.700000e-001  6.058629e-001  9.148251e-001
 7.800000e-001  5.852124e-001  9.207808e-001
 7.900000e-001  5.644301e-001  9.265293e-001
 8.000000e-001  5.435209e-001  9.320694e-001
 8.100000e-001  5.224894e-001  9.373997e-001
 8.200000e-001  5.013403e-001  9.425192e-001
 8.300000e-001  4.800784e-001  9.474265e-001
 8.400000e-001  4.587085e-001  9.521207e-001
 8.500000e-001  4.372354e-001  9.566007e-001
 8.600000e-001  4.156639e-001  9.608654e-001
 8.700000e-001  3.939989e-001  9.649140e-001
 8.800000e-001  3.722452e-001  9.687454e-001
 8.900000e-001  3.504078e-001  9.723589e-001
 9.000000e-001  3.284915e-001  9.757536e-001
