           h                   log(h)                     E(h)
1.000000e-004 -9.210340e+000 3.039082e-009
1.001001e-004 -9.209340e+000 3.045177e-009
1.002004e-004 -9.208338e+000 3.051223e-009
1.003009e-004 -9.207336e+000 3.057443e-009
1.004016e-004 -9.206332e+000 3.063553e-009
1.005025e-004 -9.205328e+000 3.069706e-009
1.006036e-004 -9.204322e+000 3.075892e-009
1.007049e-004 -9.203316e+000 3.081989e-009
1.008065e-004 -9.202308e+000 3.088214e-009
1.009082e-004 -9.201300e+000 3.094565e-009
1.010101e-004 -9.200290e+000 3.100842e-009
1.011122e-004 -9.199279e+000 3.106973e-009
1.012146e-004 -9.198268e+000 3.113340e-009
1.013171e-004 -9.197255e+000 3.119589e-009
1.014199e-004 -9.196241e+000 3.125956e-009
1.015228e-004 -9.195227e+000 3.132250e-009
1.016260e-004 -9.194211e+000 3.138640e-009
1.017294e-004 -9.193194e+000 3.145024e-009
1.018330e-004 -9.192176e+000 3.151551e-009
1.019368e-004 -9.191158e+000 3.157964e-009
1.020408e-004 -9.190138e+000 3.164443e-009
1.021450e-004 -9.189117e+000 3.170794e-009
1.022495e-004 -9.188095e+000 3.177271e-009
1.023541e-004 -9.187072e+000 3.183857e-009
1.024590e-004 -9.186048e+000 3.190261e-009
1.025641e-004 -9.185023e+000 3.196829e-009
1.026694e-004 -9.183996e+000 3.203499e-009
1.027749e-004 -9.182969e+000 3.210100e-009
1.028807e-004 -9.181941e+000 3.216635e-009
1.029866e-004 -9.180912e+000 3.223327e-009
1.030928e-004 -9.179881e+000 3.229893e-009
1.031992e-004 -9.178850e+000 3.236625e-009
1.033058e-004 -9.177817e+000 3.243312e-009
1.034126e-004 -9.176784e+000 3.250062e-009
1.035197e-004 -9.175749e+000 3.256821e-009
1.036269e-004 -9.174713e+000 3.263545e-009
1.037344e-004 -9.173676e+000 3.270278e-009
1.038422e-004 -9.172639e+000 3.277129e-009
1.039501e-004 -9.171600e+000 3.283842e-009
1.040583e-004 -9.170560e+000 3.290684e-009
1.041667e-004 -9.169518e+000 3.297551e-009
1.042753e-004 -9.168476e+000 3.304429e-009
1.043841e-004 -9.167433e+000 3.311374e-009
1.044932e-004 -9.166388e+000 3.318302e-009
1.046025e-004 -9.165343e+000 3.325192e-009
1.047120e-004 -9.164296e+000 3.332245e-009
1.048218e-004 -9.163249e+000 3.339153e-009
1.049318e-004 -9.162200e+000 3.346199e-009
1.050420e-004 -9.161150e+000 3.353243e-009
1.051525e-004 -9.160099e+000 3.360243e-009
1.052632e-004 -9.159047e+000 3.367411e-009
1.053741e-004 -9.157994e+000 3.374423e-009
1.054852e-004 -9.156940e+000 3.381556e-009
1.055966e-004 -9.155884e+000 3.388702e-009
1.057082e-004 -9.154828e+000 3.395872e-009
1.058201e-004 -9.153770e+000 3.403161e-009
1.059322e-004 -9.152711e+000 3.410294e-009
1.060445e-004 -9.151651e+000 3.417596e-009
1.061571e-004 -9.150590e+000 3.424886e-009
1.062699e-004 -9.149528e+000 3.432158e-009
1.063830e-004 -9.148465e+000 3.439344e-009
1.064963e-004 -9.147401e+000 3.446650e-009
1.066098e-004 -9.146335e+000 3.454011e-009
1.067236e-004 -9.145268e+000 3.461521e-009
1.068376e-004 -9.144201e+000 3.468862e-009
1.069519e-004 -9.143132e+000 3.476233e-009
1.070664e-004 -9.142062e+000 3.483718e-009
