                       x                        y                        z
 3.844000e+008  0.000000e+000  0.000000e+000
 3.844000e+008  2.415256e+005  0.000000e+000
 3.843998e+008  4.830513e+005  0.000000e+000
 3.843995e+008  7.245768e+005  0.000000e+000
 3.843991e+008  9.661022e+005  0.000000e+000
 3.843985e+008  1.207627e+006  0.000000e+000
 3.843977e+008  1.449152e+006  0.000000e+000
 3.843968e+008  1.690676e+006  0.000000e+000
 3.843958e+008  1.932200e+006  0.000000e+000
 3.843945e+008  2.173723e+006  0.000000e+000
 3.843932e+008  2.415245e+006  0.000000e+000
 3.843917e+008  2.656766e+006  0.000000e+000
 3.843900e+008  2.898287e+006  0.000000e+000
 3.843882e+008  3.139806e+006  0.000000e+000
 3.843862e+008  3.381324e+006  0.000000e+000
 3.843841e+008  3.622841e+006  0.000000e+000
 3.843818e+008  3.864357e+006  0.000000e+000
 3.843794e+008  4.105871e+006  0.000000e+000
 3.843768e+008  4.347384e+006  0.000000e+000
 3.843741e+008  4.588895e+006  0.000000e+000
 3.843712e+008  4.830404e+006  0.000000e+000
 3.843681e+008  5.071912e+006  0.000000e+000
 3.843649e+008  5.313417e+006  0.000000e+000
 3.843616e+008  5.554921e+006  0.000000e+000
 3.843581e+008  5.796422e+006  0.000000e+000
 3.843545e+008  6.037922e+006  0.000000e+000
 3.843507e+008  6.279419e+006  0.000000e+000
 3.843467e+008  6.520913e+006  0.000000e+000
 3.843426e+008  6.762406e+006  0.000000e+000
 3.843384e+008  7.003895e+006  0.000000e+000
 3.843340e+008  7.245382e+006  0.000000e+000
 3.843294e+008  7.486866e+006  0.000000e+000
 3.843247e+008  7.728348e+006  0.000000e+000
 3.843199e+008  7.969826e+006  0.000000e+000
 3.843149e+008  8.211301e+006  0.000000e+000
 3.843097e+008  8.452773e+006  0.000000e+000
 3.843044e+008  8.694242e+006  0.000000e+000
 3.842989e+008  8.935708e+006  0.000000e+000
 3.842933e+008  9.177170e+006  0.000000e+000
 3.842876e+008  9.418629e+006  0.000000e+000
 3.842816e+008  9.660084e+006  0.000000e+000
 3.842756e+008  9.901535e+006  0.000000e+000
 3.842693e+008  1.014298e+007  0.000000e+000
 3.842630e+008  1.038443e+007  0.000000e+000
 3.842564e+008  1.062587e+007  0.000000e+000
 3.842498e+008  1.086730e+007  0.000000e+000
 3.842429e+008  1.110873e+007  0.000000e+000
 3.842360e+008  1.135016e+007  0.000000e+000
 3.842288e+008  1.159158e+007  0.000000e+000
 3.842216e+008  1.183300e+007  0.000000e+000
 3.842141e+008  1.207441e+007  0.000000e+000
 3.842065e+008  1.231582e+007  0.000000e+000
 3.841988e+008  1.255723e+007  0.000000e+000
 3.841909e+008  1.279863e+007  0.000000e+000
 3.841829e+008  1.304002e+007  0.000000e+000
 3.841747e+008  1.328141e+007  0.000000e+000
