                       x                        y                        z
 3.844000e+008  0.000000e+000  0.000000e+000
 3.843999e+008  2.415256e+005  0.000000e+000
 3.843997e+008  4.830512e+005  0.000000e+000
 3.843993e+008  7.245765e+005  0.000000e+000
 3.843988e+008  9.661016e+005  0.000000e+000
 3.843981e+008  1.207626e+006  0.000000e+000
 3.843973e+008  1.449151e+006  0.000000e+000
 3.843963e+008  1.690674e+006  0.000000e+000
 3.843951e+008  1.932197e+006  0.000000e+000
 3.843939e+008  2.173719e+006  0.000000e+000
 3.843924e+008  2.415241e+006  0.000000e+000
 3.843908e+008  2.656761e+006  0.000000e+000
 3.843891e+008  2.898280e+006  0.000000e+000
 3.843872e+008  3.139799e+006  0.000000e+000
 3.843851e+008  3.381316e+006  0.000000e+000
 3.843829e+008  3.622831e+006  0.000000e+000
 3.843806e+008  3.864345e+006  0.000000e+000
 3.843781e+008  4.105858e+006  0.000000e+000
 3.843754e+008  4.347369e+006  0.000000e+000
 3.843726e+008  4.588879e+006  0.000000e+000
 3.843696e+008  4.830386e+006  0.000000e+000
 3.843665e+008  5.071892e+006  0.000000e+000
 3.843633e+008  5.313395e+006  0.000000e+000
 3.843599e+008  5.554897e+006  0.000000e+000
 3.843563e+008  5.796396e+006  0.000000e+000
 3.843526e+008  6.037893e+006  0.000000e+000
 3.843487e+008  6.279388e+006  0.000000e+000
 3.843447e+008  6.520880e+006  0.000000e+000
 3.843405e+008  6.762370e+006  0.000000e+000
 3.843362e+008  7.003857e+006  0.000000e+000
 3.843317e+008  7.245341e+006  0.000000e+000
 3.843271e+008  7.486822e+006  0.000000e+000
 3.843223e+008  7.728300e+006  0.000000e+000
 3.843174e+008  7.969776e+006  0.000000e+000
 3.843123e+008  8.211248e+006  0.000000e+000
 3.843071e+008  8.452717e+006  0.000000e+000
 3.843017e+008  8.694182e+006  0.000000e+000
 3.842961e+008  8.935644e+006  0.000000e+000
 3.842904e+008  9.177103e+006  0.000000e+000
 3.842846e+008  9.418558e+006  0.000000e+000
 3.842786e+008  9.660009e+006  0.000000e+000
 3.842725e+008  9.901457e+006  0.000000e+000
 3.842662e+008  1.014290e+007  0.000000e+000
 3.842597e+008  1.038434e+007  0.000000e+000
 3.842531e+008  1.062578e+007  0.000000e+000
 3.842464e+008  1.086721e+007  0.000000e+000
 3.842395e+008  1.110863e+007  0.000000e+000
 3.842324e+008  1.135006e+007  0.000000e+000
 3.842252e+008  1.159147e+007  0.000000e+000
 3.842178e+008  1.183289e+007  0.000000e+000
 3.842103e+008  1.207430e+007  0.000000e+000
 3.842027e+008  1.231570e+007  0.000000e+000
 3.841948e+008  1.255710e+007  0.000000e+000
 3.841869e+008  1.279849e+007  0.000000e+000
 3.841788e+008  1.303988e+007  0.000000e+000
 3.841705e+008  1.328127e+007  0.000000e+000
 3.841621e+008  1.352265e+007  0.000000e+000
 3.841535e+008  1.376402e+007  0.000000e+000
 3.841448e+008  1.400539e+007  0.000000e+000
 3.841359e+008  1.424675e+007  0.000000e+000
 3.841269e+008  1.448811e+007  0.000000e+000
 3.841177e+008  1.472946e+007  0.000000e+000
 3.841084e+008  1.497080e+007  0.000000e+000
 3.840989e+008  1.521214e+007  0.000000e+000
 3.840892e+008  1.545348e+007  0.000000e+000
 3.840795e+008  1.569480e+007  0.000000e+000
 3.840695e+008  1.593613e+007  0.000000e+000
 3.840594e+008  1.617744e+007  0.000000e+000
 3.840492e+008  1.641875e+007  0.000000e+000
 3.840388e+008  1.666005e+007  0.000000e+000
 3.840283e+008  1.690135e+007  0.000000e+000
 3.840176e+008  1.714263e+007  0.000000e+000
 3.840067e+008  1.738392e+007  0.000000e+000
 3.839957e+008  1.762519e+007  0.000000e+000
 3.839846e+008  1.786646e+007  0.000000e+000
 3.839733e+008  1.810772e+007  0.000000e+000
 3.839618e+008  1.834897e+007  0.000000e+000
 3.839502e+008  1.859022e+007  0.000000e+000
 3.839385e+008  1.883146e+007  0.000000e+000
 3.839265e+008  1.907269e+007  0.000000e+000
 3.839145e+008  1.931392e+007  0.000000e+000
 3.839023e+008  1.955513e+007  0.000000e+000
 3.838899e+008  1.979634e+007  0.000000e+000
 3.838774e+008  2.003754e+007  0.000000e+000
 3.838647e+008  2.027874e+007  0.000000e+000
 3.838519e+008  2.051992e+007  0.000000e+000
 3.838389e+008  2.076110e+007  0.000000e+000
 3.838258e+008  2.100227e+007  0.000000e+000
 3.838126e+008  2.124343e+007  0.000000e+000
 3.837991e+008  2.148458e+007  0.000000e+000
 3.837856e+008  2.172573e+007  0.000000e+000
 3.837718e+008  2.196686e+007  0.000000e+000
 3.837580e+008  2.220799e+007  0.000000e+000
 3.837439e+008  2.244911e+007  0.000000e+000
 3.837297e+008  2.269021e+007  0.000000e+000
 3.837154e+008  2.293131e+007  0.000000e+000
 3.837009e+008  2.317241e+007  0.000000e+000
 3.836863e+008  2.341349e+007  0.000000e+000
 3.836715e+008  2.365456e+007  0.000000e+000
 3.836566e+008  2.389562e+007  0.000000e+000
 3.836415e+008  2.413668e+007  0.000000e+000
 3.836262e+008  2.437772e+007  0.000000e+000
 3.836108e+008  2.461876e+007  0.000000e+000
 3.835953e+008  2.485978e+007  0.000000e+000
 3.835796e+008  2.510080e+007  0.000000e+000
 3.835638e+008  2.534180e+007  0.000000e+000
 3.835478e+008  2.558280e+007  0.000000e+000
 3.835316e+008  2.582378e+007  0.000000e+000
 3.835153e+008  2.606476e+007  0.000000e+000
 3.834989e+008  2.630572e+007  0.000000e+000
 3.834822e+008  2.654668e+007  0.000000e+000
 3.834655e+008  2.678762e+007  0.000000e+000
 3.834486e+008  2.702855e+007  0.000000e+000
 3.834315e+008  2.726948e+007  0.000000e+000
 3.834143e+008  2.751039e+007  0.000000e+000
 3.833970e+008  2.775129e+007  0.000000e+000
 3.833794e+008  2.799218e+007  0.000000e+000
 3.833618e+008  2.823306e+007  0.000000e+000
 3.833440e+008  2.847392e+007  0.000000e+000
 3.833260e+008  2.871478e+007  0.000000e+000
 3.833079e+008  2.895563e+007  0.000000e+000
 3.832896e+008  2.919646e+007  0.000000e+000
 3.832712e+008  2.943728e+007  0.000000e+000
 3.832526e+008  2.967809e+007  0.000000e+000
 3.832339e+008  2.991889e+007  0.000000e+000
 3.832150e+008  3.015968e+007  0.000000e+000
 3.831960e+008  3.040045e+007  0.000000e+000
 3.831768e+008  3.064122e+007  0.000000e+000
 3.831575e+008  3.088197e+007  0.000000e+000
 3.831380e+008  3.112271e+007  0.000000e+000
 3.831184e+008  3.136343e+007  0.000000e+000
 3.830986e+008  3.160415e+007  0.000000e+000
 3.830787e+008  3.184485e+007  0.000000e+000
 3.830586e+008  3.208554e+007  0.000000e+000
 3.830383e+008  3.232621e+007  0.000000e+000
 3.830180e+008  3.256688e+007  0.000000e+000
 3.829974e+008  3.280753e+007  0.000000e+000
 3.829767e+008  3.304817e+007  0.000000e+000
 3.829559e+008  3.328879e+007  0.000000e+000
 3.829349e+008  3.352940e+007  0.000000e+000
 3.829138e+008  3.377000e+007  0.000000e+000
 3.828925e+008  3.401059e+007  0.000000e+000
 3.828710e+008  3.425116e+007  0.000000e+000
 3.828494e+008  3.449172e+007  0.000000e+000
 3.828277e+008  3.473226e+007  0.000000e+000
 3.828058e+008  3.497279e+007  0.000000e+000
 3.827837e+008  3.521331e+007  0.000000e+000
 3.827615e+008  3.545381e+007  0.000000e+000
 3.827392e+008  3.569430e+007  0.000000e+000
 3.827167e+008  3.593478e+007  0.000000e+000
 3.826940e+008  3.617524e+007  0.000000e+000
 3.826712e+008  3.641568e+007  0.000000e+000
 3.826483e+008  3.665612e+007  0.000000e+000
 3.826252e+008  3.689653e+007  0.000000e+000
 3.826019e+008  3.713694e+007  0.000000e+000
 3.825785e+008  3.737733e+007  0.000000e+000
 3.825549e+008  3.761770e+007  0.000000e+000
 3.825312e+008  3.785806e+007  0.000000e+000
 3.825073e+008  3.809840e+007  0.000000e+000
 3.824833e+008  3.833873e+007  0.000000e+000
 3.824592e+008  3.857905e+007  0.000000e+000
 3.824349e+008  3.881934e+007  0.000000e+000
 3.824104e+008  3.905963e+007  0.000000e+000
 3.823858e+008  3.929990e+007  0.000000e+000
 3.823610e+008  3.954015e+007  0.000000e+000
 3.823361e+008  3.978038e+007  0.000000e+000
 3.823110e+008  4.002061e+007  0.000000e+000
 3.822858e+008  4.026081e+007  0.000000e+000
 3.822604e+008  4.050100e+007  0.000000e+000
 3.822349e+008  4.074117e+007  0.000000e+000
 3.822092e+008  4.098133e+007  0.000000e+000
 3.821834e+008  4.122147e+007  0.000000e+000
 3.821574e+008  4.146160e+007  0.000000e+000
 3.821313e+008  4.170170e+007  0.000000e+000
 3.821050e+008  4.194180e+007  0.000000e+000
 3.820786e+008  4.218187e+007  0.000000e+000
 3.820520e+008  4.242193e+007  0.000000e+000
 3.820253e+008  4.266197e+007  0.000000e+000
 3.819984e+008  4.290200e+007  0.000000e+000
 3.819714e+008  4.314201e+007  0.000000e+000
 3.819442e+008  4.338200e+007  0.000000e+000
 3.819169e+008  4.362197e+007  0.000000e+000
 3.818894e+008  4.386193e+007  0.000000e+000
 3.818617e+008  4.410187e+007  0.000000e+000
 3.818340e+008  4.434179e+007  0.000000e+000
 3.818060e+008  4.458169e+007  0.000000e+000
 3.817779e+008  4.482158e+007  0.000000e+000
 3.817497e+008  4.506145e+007  0.000000e+000
 3.817213e+008  4.530130e+007  0.000000e+000
 3.816928e+008  4.554114e+007  0.000000e+000
 3.816641e+008  4.578095e+007  0.000000e+000
 3.816352e+008  4.602075e+007  0.000000e+000
 3.816062e+008  4.626053e+007  0.000000e+000
 3.815771e+008  4.650029e+007  0.000000e+000
 3.815478e+008  4.674003e+007  0.000000e+000
 3.815184e+008  4.697976e+007  0.000000e+000
 3.814888e+008  4.721946e+007  0.000000e+000
 3.814590e+008  4.745915e+007  0.000000e+000
 3.814291e+008  4.769882e+007  0.000000e+000
 3.813991e+008  4.793847e+007  0.000000e+000
 3.813689e+008  4.817810e+007  0.000000e+000
 3.813385e+008  4.841771e+007  0.000000e+000
 3.813080e+008  4.865730e+007  0.000000e+000
 3.812774e+008  4.889688e+007  0.000000e+000
 3.812466e+008  4.913643e+007  0.000000e+000
 3.812157e+008  4.937596e+007  0.000000e+000
 3.811846e+008  4.961548e+007  0.000000e+000
 3.811533e+008  4.985497e+007  0.000000e+000
 3.811219e+008  5.009445e+007  0.000000e+000
 3.810904e+008  5.033391e+007  0.000000e+000
 3.810587e+008  5.057334e+007  0.000000e+000
 3.810268e+008  5.081276e+007  0.000000e+000
 3.809948e+008  5.105216e+007  0.000000e+000
 3.809626e+008  5.129153e+007  0.000000e+000
 3.809303e+008  5.153089e+007  0.000000e+000
 3.808979e+008  5.177022e+007  0.000000e+000
 3.808653e+008  5.200954e+007  0.000000e+000
 3.808325e+008  5.224883e+007  0.000000e+000
 3.807996e+008  5.248811e+007  0.000000e+000
 3.807666e+008  5.272736e+007  0.000000e+000
 3.807334e+008  5.296659e+007  0.000000e+000
 3.807000e+008  5.320580e+007  0.000000e+000
 3.806665e+008  5.344499e+007  0.000000e+000
 3.806329e+008  5.368416e+007  0.000000e+000
