                       x                        y                        z
 3.844000e+008  0.000000e+000  0.000000e+000
 3.843998e+008  2.415256e+005  0.000000e+000
 3.843995e+008  4.830512e+005  0.000000e+000
 3.843991e+008  7.245765e+005  0.000000e+000
 3.843985e+008  9.661016e+005  0.000000e+000
 3.843977e+008  1.207626e+006  0.000000e+000
 3.843968e+008  1.449151e+006  0.000000e+000
 3.843958e+008  1.690674e+006  0.000000e+000
 3.843945e+008  1.932197e+006  0.000000e+000
 3.843932e+008  2.173719e+006  0.000000e+000
 3.843917e+008  2.415241e+006  0.000000e+000
 3.843900e+008  2.656761e+006  0.000000e+000
 3.843882e+008  2.898280e+006  0.000000e+000
 3.843862e+008  3.139799e+006  0.000000e+000
 3.843841e+008  3.381316e+006  0.000000e+000
 3.843818e+008  3.622831e+006  0.000000e+000
 3.843794e+008  3.864345e+006  0.000000e+000
 3.843768e+008  4.105858e+006  0.000000e+000
 3.843741e+008  4.347369e+006  0.000000e+000
 3.843712e+008  4.588879e+006  0.000000e+000
 3.843681e+008  4.830386e+006  0.000000e+000
 3.843649e+008  5.071892e+006  0.000000e+000
 3.843616e+008  5.313395e+006  0.000000e+000
 3.843581e+008  5.554897e+006  0.000000e+000
 3.843545e+008  5.796396e+006  0.000000e+000
 3.843507e+008  6.037893e+006  0.000000e+000
 3.843467e+008  6.279388e+006  0.000000e+000
 3.843426e+008  6.520880e+006  0.000000e+000
 3.843384e+008  6.762370e+006  0.000000e+000
 3.843340e+008  7.003857e+006  0.000000e+000
 3.843294e+008  7.245341e+006  0.000000e+000
 3.843247e+008  7.486822e+006  0.000000e+000
 3.843199e+008  7.728300e+006  0.000000e+000
 3.843149e+008  7.969776e+006  0.000000e+000
 3.843097e+008  8.211248e+006  0.000000e+000
 3.843044e+008  8.452717e+006  0.000000e+000
 3.842989e+008  8.694182e+006  0.000000e+000
 3.842933e+008  8.935644e+006  0.000000e+000
 3.842876e+008  9.177103e+006  0.000000e+000
 3.842816e+008  9.418558e+006  0.000000e+000
 3.842756e+008  9.660009e+006  0.000000e+000
 3.842693e+008  9.901457e+006  0.000000e+000
 3.842630e+008  1.014290e+007  0.000000e+000
 3.842564e+008  1.038434e+007  0.000000e+000
 3.842498e+008  1.062578e+007  0.000000e+000
 3.842429e+008  1.086721e+007  0.000000e+000
 3.842360e+008  1.110863e+007  0.000000e+000
 3.842288e+008  1.135006e+007  0.000000e+000
 3.842215e+008  1.159147e+007  0.000000e+000
 3.842141e+008  1.183289e+007  0.000000e+000
 3.842065e+008  1.207430e+007  0.000000e+000
 3.841988e+008  1.231570e+007  0.000000e+000
 3.841909e+008  1.255710e+007  0.000000e+000
 3.841829e+008  1.279849e+007  0.000000e+000
 3.841747e+008  1.303988e+007  0.000000e+000
 3.841663e+008  1.328127e+007  0.000000e+000
 3.841578e+008  1.352265e+007  0.000000e+000
 3.841492e+008  1.376402e+007  0.000000e+000
 3.841404e+008  1.400539e+007  0.000000e+000
 3.841314e+008  1.424675e+007  0.000000e+000
 3.841223e+008  1.448811e+007  0.000000e+000
 3.841131e+008  1.472946e+007  0.000000e+000
 3.841037e+008  1.497080e+007  0.000000e+000
 3.840941e+008  1.521214e+007  0.000000e+000
 3.840844e+008  1.545348e+007  0.000000e+000
 3.840745e+008  1.569480e+007  0.000000e+000
 3.840645e+008  1.593612e+007  0.000000e+000
 3.840543e+008  1.617744e+007  0.000000e+000
 3.840440e+008  1.641875e+007  0.000000e+000
 3.840336e+008  1.666005e+007  0.000000e+000
 3.840229e+008  1.690135e+007  0.000000e+000
 3.840122e+008  1.714263e+007  0.000000e+000
 3.840013e+008  1.738392e+007  0.000000e+000
 3.839902e+008  1.762519e+007  0.000000e+000
 3.839790e+008  1.786646e+007  0.000000e+000
 3.839676e+008  1.810772e+007  0.000000e+000
 3.839560e+008  1.834897e+007  0.000000e+000
 3.839444e+008  1.859022e+007  0.000000e+000
 3.839325e+008  1.883146e+007  0.000000e+000
 3.839205e+008  1.907269e+007  0.000000e+000
 3.839084e+008  1.931392e+007  0.000000e+000
 3.838961e+008  1.955513e+007  0.000000e+000
 3.838837e+008  1.979634e+007  0.000000e+000
 3.838711e+008  2.003754e+007  0.000000e+000
 3.838584e+008  2.027874e+007  0.000000e+000
 3.838455e+008  2.051992e+007  0.000000e+000
 3.838324e+008  2.076110e+007  0.000000e+000
 3.838192e+008  2.100227e+007  0.000000e+000
 3.838059e+008  2.124343e+007  0.000000e+000
 3.837924e+008  2.148458e+007  0.000000e+000
 3.837787e+008  2.172573e+007  0.000000e+000
 3.837649e+008  2.196686e+007  0.000000e+000
 3.837510e+008  2.220799e+007  0.000000e+000
 3.837369e+008  2.244911e+007  0.000000e+000
 3.837226e+008  2.269021e+007  0.000000e+000
 3.837082e+008  2.293131e+007  0.000000e+000
 3.836936e+008  2.317241e+007  0.000000e+000
 3.836789e+008  2.341349e+007  0.000000e+000
 3.836641e+008  2.365456e+007  0.000000e+000
 3.836490e+008  2.389562e+007  0.000000e+000
 3.836339e+008  2.413668e+007  0.000000e+000
 3.836186e+008  2.437772e+007  0.000000e+000
 3.836031e+008  2.461876e+007  0.000000e+000
 3.835875e+008  2.485978e+007  0.000000e+000
 3.835717e+008  2.510080e+007  0.000000e+000
 3.835558e+008  2.534180e+007  0.000000e+000
 3.835397e+008  2.558280e+007  0.000000e+000
 3.835235e+008  2.582378e+007  0.000000e+000
 3.835071e+008  2.606476e+007  0.000000e+000
 3.834906e+008  2.630572e+007  0.000000e+000
 3.834739e+008  2.654667e+007  0.000000e+000
 3.834571e+008  2.678762e+007  0.000000e+000
 3.834401e+008  2.702855e+007  0.000000e+000
 3.834229e+008  2.726947e+007  0.000000e+000
 3.834057e+008  2.751039e+007  0.000000e+000
 3.833882e+008  2.775129e+007  0.000000e+000
 3.833706e+008  2.799218e+007  0.000000e+000
 3.833529e+008  2.823306e+007  0.000000e+000
 3.833350e+008  2.847392e+007  0.000000e+000
 3.833170e+008  2.871478e+007  0.000000e+000
 3.832988e+008  2.895562e+007  0.000000e+000
 3.832804e+008  2.919646e+007  0.000000e+000
 3.832619e+008  2.943728e+007  0.000000e+000
 3.832433e+008  2.967809e+007  0.000000e+000
 3.832245e+008  2.991889e+007  0.000000e+000
 3.832055e+008  3.015968e+007  0.000000e+000
 3.831864e+008  3.040045e+007  0.000000e+000
 3.831672e+008  3.064122e+007  0.000000e+000
 3.831478e+008  3.088197e+007  0.000000e+000
 3.831282e+008  3.112271e+007  0.000000e+000
 3.831085e+008  3.136343e+007  0.000000e+000
 3.830886e+008  3.160415e+007  0.000000e+000
 3.830686e+008  3.184485e+007  0.000000e+000
 3.830485e+008  3.208554e+007  0.000000e+000
 3.830282e+008  3.232621e+007  0.000000e+000
 3.830077e+008  3.256688e+007  0.000000e+000
 3.829871e+008  3.280753e+007  0.000000e+000
 3.829663e+008  3.304817e+007  0.000000e+000
 3.829454e+008  3.328879e+007  0.000000e+000
 3.829243e+008  3.352940e+007  0.000000e+000
 3.829031e+008  3.377000e+007  0.000000e+000
 3.828817e+008  3.401059e+007  0.000000e+000
 3.828602e+008  3.425116e+007  0.000000e+000
 3.828385e+008  3.449172e+007  0.000000e+000
 3.828167e+008  3.473226e+007  0.000000e+000
 3.827947e+008  3.497279e+007  0.000000e+000
 3.827726e+008  3.521331e+007  0.000000e+000
 3.827503e+008  3.545381e+007  0.000000e+000
 3.827279e+008  3.569430e+007  0.000000e+000
 3.827053e+008  3.593477e+007  0.000000e+000
 3.826826e+008  3.617524e+007  0.000000e+000
 3.826597e+008  3.641568e+007  0.000000e+000
