                       x                        y                        z
 3.844000e+008  0.000000e+000  0.000000e+000
 3.843999e+008  4.830513e+005  0.000000e+000
 3.843997e+008  9.661024e+005  0.000000e+000
 3.843993e+008  1.449153e+006  0.000000e+000
 3.843988e+008  1.932203e+006  0.000000e+000
 3.843981e+008  2.415253e+006  0.000000e+000
 3.843973e+008  2.898301e+006  0.000000e+000
 3.843963e+008  3.381348e+006  0.000000e+000
 3.843951e+008  3.864394e+006  0.000000e+000
 3.843939e+008  4.347439e+006  0.000000e+000
 3.843924e+008  4.830481e+006  0.000000e+000
 3.843908e+008  5.313522e+006  0.000000e+000
 3.843891e+008  5.796561e+006  0.000000e+000
 3.843872e+008  6.279597e+006  0.000000e+000
 3.843851e+008  6.762631e+006  0.000000e+000
 3.843829e+008  7.245663e+006  0.000000e+000
 3.843806e+008  7.728691e+006  0.000000e+000
 3.843781e+008  8.211716e+006  0.000000e+000
 3.843754e+008  8.694738e+006  0.000000e+000
 3.843726e+008  9.177757e+006  0.000000e+000
 3.843697e+008  9.660772e+006  0.000000e+000
 3.843665e+008  1.014378e+007  0.000000e+000
 3.843633e+008  1.062679e+007  0.000000e+000
 3.843599e+008  1.110979e+007  0.000000e+000
 3.843563e+008  1.159279e+007  0.000000e+000
 3.843526e+008  1.207579e+007  0.000000e+000
 3.843487e+008  1.255878e+007  0.000000e+000
 3.843447e+008  1.304176e+007  0.000000e+000
 3.843405e+008  1.352474e+007  0.000000e+000
 3.843362e+008  1.400771e+007  0.000000e+000
 3.843317e+008  1.449068e+007  0.000000e+000
 3.843271e+008  1.497364e+007  0.000000e+000
 3.843223e+008  1.545660e+007  0.000000e+000
 3.843174e+008  1.593955e+007  0.000000e+000
 3.843123e+008  1.642250e+007  0.000000e+000
 3.843071e+008  1.690543e+007  0.000000e+000
 3.843017e+008  1.738837e+007  0.000000e+000
 3.842962e+008  1.787129e+007  0.000000e+000
 3.842905e+008  1.835421e+007  0.000000e+000
 3.842846e+008  1.883712e+007  0.000000e+000
 3.842787e+008  1.932002e+007  0.000000e+000
 3.842725e+008  1.980292e+007  0.000000e+000
 3.842662e+008  2.028580e+007  0.000000e+000
 3.842598e+008  2.076868e+007  0.000000e+000
 3.842532e+008  2.125155e+007  0.000000e+000
 3.842465e+008  2.173442e+007  0.000000e+000
 3.842396e+008  2.221727e+007  0.000000e+000
 3.842325e+008  2.270012e+007  0.000000e+000
 3.842253e+008  2.318295e+007  0.000000e+000
 3.842180e+008  2.366578e+007  0.000000e+000
 3.842105e+008  2.414860e+007  0.000000e+000
 3.842028e+008  2.463141e+007  0.000000e+000
 3.841950e+008  2.511421e+007  0.000000e+000
